200M,0.010499238967895508
200L,0.009497880935668945
400M,0.07299971580505371
400L,0.07349777221679688
600M,0.2415010929107666
600L,0.22999858856201172
800M,0.6004996299743652
800L,0.5405004024505615
1000M,1.0789997577667236
1000L,1.0599985122680664
1200M,1.883000135421753
1200L,1.8439977169036865
1400M,2.961000442504883
1400L,2.951998710632324
1600M,4.386500120162964
1600L,4.391496658325195
1800M,6.250499963760376
1800L,6.315496206283569
2000M,8.564499616622925
2000L,8.843498468399048
2200M,11.286999225616455
2200L,11.490498542785645
2400M,14.733999013900757
2400L,15.164497137069702
2600M,18.50599980354309
2600L,20.78749942779541
2800M,23.522499561309814
2800L,25.16999840736389
200M,0.009999990463256836
200L,0.009500980377197266
400M,0.07850050926208496
400L,0.06799936294555664
600M,0.23350191116333008
600L,0.2239978313446045
800M,0.5644996166229248
800L,0.5484986305236816
1000M,1.0915005207061768
1000L,1.0654997825622559
1200M,1.8540012836456299
1200L,1.823498249053955
1400M,3.0829992294311523
1400L,2.994499444961548
1600M,4.5759971141815186
1600L,4.668499231338501
1800M,6.338498830795288
1800L,6.268500089645386
2000M,8.478499412536621
2000L,8.550997495651245
2200M,11.199001550674438
2200L,11.526500225067139
2400M,14.756500720977783
2400L,15.314498901367188
2600M,18.63900089263916
2600L,19.59000015258789
2800M,23.223000049591064
2800L,24.88399839401245
