200M,0.010497331619262695
200L,0.009999513626098633
400M,0.0749971866607666
400L,0.06949877738952637
600M,0.24299931526184082
600L,0.23549938201904297
800M,0.5865411758422852
800L,0.5589580535888672
1000M,1.094998836517334
1000L,1.0764985084533691
1200M,1.8760008811950684
1200L,1.8599965572357178
1400M,2.960498809814453
1400L,2.9549953937530518
1600M,4.4040000438690186
1600L,4.3749988079071045
1800M,6.2210001945495605
1800L,6.215498447418213
2000M,8.632999897003174
2000L,8.688498973846436
2200M,11.189999341964722
2200L,
